repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
GokuMohandas/Made-With-ML,49113,2018-11-05T03:44:27Z,7.78,147,1,2026-08-17T19:32:14Z,0,Jupyter Notebook,59,77,0.7662
apple/container,49025,2025-05-30T21:26:05Z,1.22,730,20,2026-08-17T21:52:20Z,0,Swift,570,863,0.6605
chen08209/FlClash,49016,2023-08-15T07:47:22Z,3.01,2,106,2026-08-17T20:58:08Z,0,Dart,1509,2018,0.7478
JuliaLang/julia,49009,2011-04-21T07:01:50Z,15.32,27780,203,2026-08-17T21:29:36Z,0,Julia,22507,26127,0.8614
bigskysoftware/htmx,48974,2020-04-13T16:17:51Z,6.34,1190,32,2026-08-17T18:49:55Z,0,JavaScript,1123,1738,0.6461
metabase/metabase,48806,2015-02-02T19:25:47Z,11.54,45946,816,2026-08-17T21:42:08Z,0,Clojure,21951,25685,0.8546
akullpp/awesome-java,48757,2014-07-09T10:12:43Z,12.11,800,0,2026-08-17T18:51:00Z,0,N/A,145,145,1.0
tmux/tmux,48679,2015-06-03T23:32:55Z,11.2,37,44,2026-08-17T21:12:01Z,0,C,4120,4140,0.9952
algorithm-visualizer/algorithm-visualizer,48668,2016-05-15T00:27:45Z,10.26,183,0,2026-08-16T17:02:52Z,1,JavaScript,77,126,0.6111
iamkun/dayjs,48666,2018-04-10T09:26:44Z,8.35,729,129,2026-08-17T17:12:18Z,0,JavaScript,880,1848,0.4762
DovAmir/awesome-design-patterns,48598,2018-06-04T17:47:48Z,8.2,30,0,2026-08-17T20:33:09Z,0,N/A,6,17,0.3529
calesthio/OpenMontage,48591,2026-03-29T15:23:22Z,0.39,92,0,2026-08-17T21:51:54Z,0,Python,48,126,0.381
mudler/LocalAI,48534,2023-03-18T22:58:02Z,3.41,6687,135,2026-08-17T22:01:33Z,0,Go,1509,1601,0.9425
upscayl/upscayl,48469,2022-07-30T17:19:20Z,4.05,106,29,2026-08-17T21:20:10Z,0,TypeScript,1025,1079,0.95
nilbuild/design-patterns-for-humans,48455,2017-02-16T21:24:39Z,9.5,50,0,2026-08-17T16:54:50Z,0,N/A,47,52,0.9038
KRTirtho/spotube,48448,2021-02-14T03:17:58Z,5.5,261,44,2026-08-17T21:14:44Z,0,Dart,1309,2117,0.6183
type-challenges/type-challenges,48436,2020-07-23T14:33:11Z,6.07,600,0,2026-08-17T21:44:00Z,0,TypeScript,4092,37284,0.1098
Aider-AI/aider,48284,2023-05-09T18:57:49Z,3.27,288,93,2026-08-17T21:38:34Z,0,Python,3015,4356,0.6921
brillout/awesome-react-components,48213,2016-06-24T15:19:33Z,10.15,343,0,2026-08-17T16:27:30Z,0,N/A,45,61,0.7377
ReactiveX/RxJava,48203,2013-01-08T20:11:48Z,13.6,3587,267,2026-08-17T15:51:38Z,0,Java,3273,3283,0.997
slidevjs/slidev,48121,2021-04-24T01:25:23Z,5.31,900,429,2026-08-17T20:06:37Z,0,TypeScript,1195,1378,0.8672
pixijs/pixijs,48019,2013-01-21T22:40:50Z,13.57,3878,308,2026-08-17T21:40:07Z,0,TypeScript,5837,6132,0.9519
moeru-ai/airi,47998,2024-12-01T16:33:36Z,1.71,1217,81,2026-08-17T20:08:00Z,0,TypeScript,449,537,0.8361
moment/moment,47917,2011-03-01T02:46:06Z,15.46,749,1,2026-08-17T21:36:34Z,0,JavaScript,3998,4165,0.9599
karan/Projects,47871,2013-07-04T13:37:27Z,13.12,19,0,2026-08-17T19:08:04Z,0,N/A,39,98,0.398
calcom/cal.diy,47758,2021-03-22T13:47:42Z,5.4,13099,611,2026-08-17T22:00:03Z,0,TypeScript,8268,9381,0.8814
gogs/gogs,47733,2014-02-12T01:57:08Z,12.51,1958,98,2026-08-17T20:41:24Z,0,Go,4269,5209,0.8195
HKUDS/CLI-Anything,47710,2026-03-08T13:52:57Z,0.44,187,3,2026-08-17T21:50:14Z,0,Python,77,129,0.5969
minimaxir/big-list-of-naughty-strings,47706,2015-08-08T20:57:20Z,11.03,89,0,2026-08-17T20:11:09Z,0,Python,32,101,0.3168
bevyengine/bevy,47671,2020-01-18T21:13:55Z,6.58,8599,58,2026-08-17T20:00:05Z,0,Rust,5798,8626,0.6722
discourse/discourse,47668,2013-01-12T00:25:55Z,13.59,37165,1,2026-08-17T21:53:44Z,0,Ruby,0,0,0.0
microsoft/qlib,47658,2020-08-14T06:46:00Z,6.01,756,23,2026-08-17T20:47:19Z,0,Python,769,1071,0.718
router-for-me/CLIProxyAPI,47608,2025-07-01T19:43:27Z,1.13,686,816,2026-08-17T21:50:28Z,0,Go,2494,2547,0.9792
lukasz-madon/awesome-remote-job,47603,2015-01-02T00:31:34Z,11.62,628,0,2026-08-17T21:33:58Z,0,N/A,75,95,0.7895
prisma/prisma,47567,2019-06-20T13:33:47Z,7.16,7036,252,2026-08-17T19:46:57Z,0,TypeScript,9559,12019,0.7953
oobabooga/textgen,47547,2022-12-21T04:17:37Z,3.66,1273,113,2026-08-17T20:17:48Z,0,Python,3397,4199,0.809
GitHubDaily/GitHubDaily,47505,2018-12-30T13:56:58Z,7.63,3,0,2026-08-17T20:25:41Z,0,N/A,196,965,0.2031
hugohe3/ppt-master,47489,2025-12-10T06:54:33Z,0.68,32,22,2026-08-17T21:50:18Z,0,Python,118,123,0.9593
acmesh-official/acme.sh,47477,2015-12-26T12:56:33Z,10.64,1627,48,2026-08-17T13:31:49Z,0,Shell,3664,3701,0.99
jeecgboot/JeecgBoot,47409,2018-11-26T10:40:00Z,7.72,133,64,2026-08-17T15:34:52Z,0,Java,8473,8489,0.9981
dypsilon/frontend-dev-bookmarks,47392,2013-06-22T13:23:55Z,13.15,129,1,2026-08-17T18:47:44Z,0,N/A,82,117,0.7009
coreybutler/nvm-windows,47376,2014-09-20T16:37:28Z,11.91,107,23,2026-08-17T20:26:32Z,0,Go,910,969,0.9391
stablyai/orca,47349,2026-03-17T03:28:57Z,0.42,7735,931,2026-08-17T22:05:44Z,0,TypeScript,1904,3823,0.498
slab/quill,47302,2012-07-30T23:23:18Z,14.05,382,95,2026-08-17T14:09:42Z,0,TypeScript,3269,3848,0.8495
typescript-cheatsheets/react,47101,2018-06-02T04:08:16Z,8.21,387,0,2026-08-17T16:18:37Z,0,TypeScript,225,225,1.0
HKUDS/nanobot,47100,2026-02-01T07:16:15Z,0.54,1506,19,2026-08-17T20:18:41Z,0,Python,1251,1445,0.8657
lysine-dev/okhttp,47050,2012-07-23T13:42:55Z,14.07,4156,0,2026-08-17T17:18:51Z,0,Kotlin,4212,4300,0.9795
rohitg00/ai-engineering-from-scratch,47029,2026-03-18T18:38:02Z,0.42,185,2,2026-08-17T20:52:51Z,0,Python,41,73,0.5616
gedoor/legado,47005,2019-05-22T04:18:58Z,7.24,0,0,2026-08-17T21:52:28Z,0,Kotlin,0,0,0.0
elder-plinius/CL4R1T4S,46999,2025-03-04T20:03:16Z,1.45,0,0,2026-08-17T21:51:55Z,0,N/A,8,79,0.1013
v2ray/v2ray-core,46931,2015-09-04T11:42:53Z,10.95,203,247,2026-08-17T21:56:33Z,0,Go,2597,2600,0.9988
serverless/serverless,46919,2015-04-21T03:48:40Z,11.32,5142,494,2026-08-16T08:39:25Z,1,JavaScript,5525,6633,0.833
KeygraphHQ/shannon,46891,2025-09-27T01:51:47Z,0.89,124,16,2026-08-17T21:55:09Z,0,TypeScript,124,139,0.8921
exo-explore/exo,46863,2024-06-24T18:36:22Z,2.15,770,16,2026-08-17T17:21:43Z,0,Python,740,929,0.7966
Asabeneh/30-Days-Of-JavaScript,46708,2019-12-23T14:07:40Z,6.65,100,0,2026-08-17T17:57:41Z,0,JavaScript,62,180,0.3444
hiroi-sora/Umi-OCR,46646,2022-03-28T04:01:46Z,4.39,58,31,2026-08-17T20:58:05Z,0,Python,519,871,0.5959
microsoft/monaco-editor,46547,2016-06-07T16:56:31Z,10.19,668,189,2026-08-17T21:43:00Z,0,JavaScript,3243,4015,0.8077
